pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Kto wymierza administracyjną karę pieniężną m.in. za usunięcie drzewa bez wymaganego zezwolenia?,Regionalny dyrektor ochrony środowiska,Policja,"Wójt, burmistrz albo prezydent miasta",Sąd rejonowy w pierwszej instancji,3,"Art. 88 ust. 1 wskazuje wójta, burmistrza albo prezydenta miasta."
Jaka jest co do zasady wysokość administracyjnej kary za usunięcie drzewa lub krzewu bez wymaganego zezwolenia?,Połowa opłaty,Jednokrotność opłaty,Trzykrotność opłaty,Dwukrotność opłaty za usunięcie drzewa lub krzewu,4,Art. 89 ust. 1 ustala karę dla wskazanych naruszeń co do zasady na poziomie dwukrotności opłaty.
Jak ustala się administracyjną karę za uszkodzenie drzewa spowodowane pracami w obrębie korony?,"Jako opłatę za usunięcie drzewa pomnożoną przez 0,6",Jako dwukrotność opłaty,"Jako opłatę pomnożoną przez 0,25",Jako trzykrotność opłaty,1,"Art. 89 ust. 2 przewiduje mnożnik 0,6."
"O ile obniża się karę w przypadku usunięcia drzewa lub krzewu obumarłego, nierokującego szansy na przeżycie, złomu lub wywrotu?",O 20%,O 50%,O 30%,O 75%,2,Art. 89 ust. 6 przewiduje obniżenie kary o 50%.
Czy wymierza się administracyjną karę pieniężną za usunięcie lub zniszczenie drzewa w okolicznościach uzasadnionych stanem wyższej konieczności?,"Tak, zawsze w pełnej wysokości.","Tak, ale tylko 50% kary.",Nie,"Tak, chyba że zgodzi się rada gminy.",3,Art. 89 ust. 7 wyłącza karę w okolicznościach uzasadnionych stanem wyższej konieczności.
"Kto wykonuje czynności dotyczące zezwoleń na usuwanie drzew i krzewów oraz związanych z nimi opłat i kar (art. 83–89) na nieruchomości gminnej, jeżeli normalnie wykonywałby je wójt, burmistrz albo prezydent miasta?",Wojewoda,Regionalny dyrektor ochrony środowiska,Dyrektor parku narodowego,Starosta,4,Art. 90 ust. 1 przenosi w takim przypadku kompetencję na starostę.
"Kto wykonuje czynności dotyczące zezwoleń na usuwanie drzew i krzewów oraz związanych z nimi opłat i kar (art. 83–89) dla nieruchomości gminnej, gdy prezydent miasta na prawach powiatu sprawuje funkcję starosty?",Marszałek województwa,Wojewoda,Generalny Dyrektor Ochrony Środowiska,Minister właściwy do spraw środowiska,1,Art. 90 ust. 2 przewiduje w tej sytuacji właściwość marszałka województwa.
Który z poniższych podmiotów jest organem w zakresie ochrony przyrody w rozumieniu art. 91?,Rada naukowa parku narodowego,"Wójt, burmistrz albo prezydent miasta",Państwowa Rada Ochrony Przyrody,Komisja konkursowa dyrektora parku narodowego,2,"Art. 91 wymienia wójta, burmistrza albo prezydenta miasta wśród organów ochrony przyrody."
Kto powołuje i odwołuje Głównego Konserwatora Przyrody?,Minister właściwy do spraw środowiska samodzielnie,Prezydent RP,Prezes Rady Ministrów na wniosek ministra właściwego do spraw środowiska,Generalny Dyrektor Ochrony Środowiska,3,Art. 92 ust. 2 powierza powołanie i odwołanie Prezesowi Rady Ministrów na wniosek ministra.
Ilu członków liczy Państwowa Rada Ochrony Przyrody?,Od 5 do 10,Od 10 do 20,Od 20 do 30,Od 20 do 40,4,Art. 96 ust. 1 określa liczebność Państwowej Rady Ochrony Przyrody na 20–40 członków.
Jak długo trwa kadencja Państwowej Rady Ochrony Przyrody?,5 lat,3 lata,4 lata,6 lat,1,Art. 96 ust. 1ba przewiduje pięcioletnią kadencję.
Ilu członków liczy regionalna rada ochrony przyrody?,Od 5 do 10,Od 20 do 30,Od 10 do 20,Od 30 do 50,2,Art. 97 ust. 1 przewiduje 20–30 członków regionalnej rady ochrony przyrody.
Ilu członków liczy rada naukowa parku narodowego?,Od 5 do 10,Od 20 do 30,Od 10 do 20,Od 20 do 40,3,Art. 98 ust. 1 przewiduje 10–20 członków rady naukowej parku narodowego.
Kto powołuje dyrektora parku krajobrazowego?,Regionalny dyrektor ochrony środowiska,Minister właściwy do spraw środowiska,Rada gminy,Zarząd województwa po zasięgnięciu opinii regionalnej rady ochrony przyrody,4,Art. 105 ust. 2 powierza powołanie dyrektora parku krajobrazowego zarządowi województwa.
Kto prowadzi centralny rejestr form ochrony przyrody?,Generalny Dyrektor Ochrony Środowiska,Minister właściwy do spraw środowiska,Każdy starosta dla całego kraju,Marszałek województwa,1,Art. 113 ust. 1 powierza prowadzenie centralnego rejestru Generalnemu Dyrektorowi Ochrony Środowiska.
W ramach czego prowadzi się monitoring przyrodniczy różnorodności biologicznej i krajobrazowej?,Narodowego Spisu Powszechnego,Państwowego monitoringu środowiska,Państwowego Monitoringu Lasów wyłącznie,Systemu informacji przestrzennej gmin,2,"Art. 112 ust. 1 stanowi, że monitoring przyrodniczy jest prowadzony w ramach państwowego monitoringu środowiska."
Których form dotyczy centralny rejestr form ochrony przyrody prowadzony przez GDOŚ?,Wszystkich form łącznie z ochroną gatunkową z pkt 10,Wyłącznie parków narodowych i rezerwatów,Form wymienionych w art. 6 ust. 1 pkt 1–9,Wyłącznie form ustanawianych przez gminę,3,Art. 113 ust. 1 obejmuje centralnym rejestrem formy z art. 6 ust. 1 pkt 1–9.
"W jakim terminie organ, który utworzył lub ustanowił określoną formę ochrony przyrody, przesyła GDOŚ wymagane informacje i kopię aktu?",7 dni,14 dni,60 dni,30 dni,4,Art. 113 ust. 4 przewiduje termin 30 dni.
Czy wyznaczenie miejsc parkingowych przy drodze publicznej przebiegającej przez park narodowy wymaga zgody?,"Tak, zgody dyrektora parku narodowego","Nie, nigdy.","Tak, wyłącznie zgody starosty.","Tak, wyłącznie zgody rady gminy.",1,Art. 116 wymaga zgody dyrektora parku narodowego dla miejsc parkingowych na drodze przebiegającej przez park.
"Co powinno zapewniać gospodarowanie zasobami dziko występujących roślin, zwierząt i grzybów?",Wyłącznie maksymalizację pozyskania,"Ich trwałość, optymalną liczebność i ochronę różnorodności genetycznej",Wyłącznie wzrost liczebności każdego gatunku,Całkowity zakaz gospodarczego wykorzystania,2,"Art. 117 wskazuje trwałość, optymalną liczebność i ochronę różnorodności genetycznej."
Do kogo dokonuje się zgłoszenia określonych działań mogących zmieniać warunki wodne lub wodno-glebowe na wskazanych obszarach chronionych?,Do rady gminy,Do Generalnego Dyrektora Ochrony Środowiska w każdym przypadku,Do regionalnego dyrektora ochrony środowiska,Do komendanta Policji,3,Art. 118 przewiduje zgłoszenie regionalnemu dyrektorowi ochrony środowiska.
"Jakie obiekty są co do zasady zabronione w pobliżu morza, jezior, rzek i kanałów?",Wszystkie obiekty budowlane bez wyjątku,Wyłącznie obiekty mieszkalne,Wyłącznie ogrodzenia rolne,Obiekty uniemożliwiające lub utrudniające ludziom i dziko występującym zwierzętom dostęp do wody,4,"Art. 119 zakazuje obiektów uniemożliwiających lub utrudniających dostęp do wody, z określonymi wyjątkami."
Czy wywóz za granicę meteorytów i kopalnych szczątków roślin i zwierząt wymaga zezwolenia?,"Tak, zezwolenia Generalnego Dyrektora Ochrony Środowiska","Nie, nigdy.","Tak, zezwolenia wójta.","Tak, zezwolenia starosty.",1,Art. 121 ust. 2 wymaga zezwolenia Generalnego Dyrektora Ochrony Środowiska.
Kogo należy niezwłocznie powiadomić o odkryciu kopalnych szczątków roślin lub zwierząt?,Wyłącznie Policję,"Regionalnego dyrektora ochrony środowiska, a gdy nie jest to możliwe – właściwego wójta, burmistrza albo prezydenta miasta",Wyłącznie ministra właściwego do spraw środowiska,Wyłącznie starostę,2,"Art. 122 ust. 1 wskazuje regionalnego dyrektora ochrony środowiska, a pomocniczo organ wykonawczy gminy."
"Czy wypalanie łąk, pastwisk, nieużytków, rowów, pasów przydrożnych, szlaków kolejowych, trzcinowisk i szuwarów jest co do zasady dozwolone?","Tak, zawsze.","Tak, po zgłoszeniu w gminie.","Nie, jest zabronione","Tak, jeśli powierzchnia nie przekracza 1 ha.",3,Art. 124 ust. 1 ustanawia generalny zakaz wypalania tych terenów.
"Kiedy mogą być niszczone lub zabijane rośliny, zwierzęta lub grzyby nieobjęte formami ochrony przyrody?",Zawsze bez ograniczeń,Wyłącznie po zgodzie ministra,Wyłącznie na nieruchomości prywatnej,"Tylko w związku z przypadkami wymienionymi w art. 125, np. racjonalną gospodarką, badaniami, bezpieczeństwem lub akcją ratowniczą",4,Art. 125 enumeratywnie wskazuje sytuacje uzasadniające niszczenie lub zabijanie takich organizmów.
"Czy odpowiedzialność Skarbu Państwa za szkody wyrządzane przez żubry, wilki, rysie, niedźwiedzie i bobry (art. 126) obejmuje utracone korzyści?",Nie,"Tak, zawsze.","Tak, ale tylko do 10 000 zł.","Tak, jeżeli szkodę wyrządził wilk.",1,Art. 126 ust. 2 wyłącza utracone korzyści z zakresu odpowiedzialności.
"Jaka kara grozi za umyślne naruszanie zakazów obowiązujących m.in. w parkach narodowych, rezerwatach i obszarach Natura 2000 na podstawie art. 127?",Wyłącznie kara pozbawienia wolności od 3 miesięcy do 5 lat,Areszt albo grzywna,Wyłącznie nagana,Wyłącznie administracyjna kara pieniężna,2,Art. 127 przewiduje za wskazane wykroczenia karę aresztu albo grzywny.
"Jaka kara grozi za czyny wskazane w art. 128, m.in. niektóre poważne naruszenia przepisów CITES lub zakazów dotyczących niebezpiecznych zwierząt?",Wyłącznie grzywna do 500 zł,Areszt do 14 dni,Pozbawienie wolności od 3 miesięcy do 5 lat,Pozbawienie wolności do 1 miesiąca,3,Art. 128 przewiduje karę pozbawienia wolności od 3 miesięcy do 5 lat.
"Jaką nawiązkę może orzec sąd, gdy po ukaraniu za wykroczenie lub skazaniu za przestępstwo przeciwko ochronie przyrody nie da się przywrócić stanu poprzedniego (art. 129)?",Do 1 000 zł,Do 5 000 zł,Do 100 000 zł,Do 10 000 zł,4,Art. 129 pkt 2 przewiduje nawiązkę do wysokości 10 000 zł.
"Na podstawie jakich przepisów orzeka się w sprawach o wykroczenia przeciwko ochronie przyrody, do których odsyła art. 132?",Kodeksu postępowania w sprawach o wykroczenia,Kodeksu postępowania administracyjnego,Kodeksu postępowania cywilnego,Ordynacji podatkowej,1,Art. 132 odsyła do Kodeksu postępowania w sprawach o wykroczenia.
"Kto wykonuje w parku narodowym zadania związane m.in. z ochroną przyrody, badaniami naukowymi i działalnością edukacyjną?",Regionalna rada ochrony przyrody,Służba Parku Narodowego,Rada gminy,Służba Parku Krajobrazowego,2,Art. 103 przypisuje te zadania Służbie Parku Narodowego.
Jaki minimalny wiek musi mieć funkcjonariusz Straży Parku?,18 lat,20 lat,21 lat,25 lat,3,Art. 108 ust. 2 wymaga ukończenia 21 lat.
Jak często funkcjonariusz Straży Parku podlega okresowym badaniom lekarskim i psychologicznym?,Co roku,Co 2 lata,Co 10 lat,Co 5 lat,4,Art. 108 ust. 4 przewiduje okresowe badania co 5 lat.
Jakie uprawnienie ma pracownik Służby Parku Krajobrazowego wobec osoby naruszającej przepisy o ochronie przyrody?,"Może ją legitymować, a przy odmowie okazania dokumentu zwrócić się do Policji lub innego właściwego organu o ustalenie tożsamości",Może zawsze dokonać zatrzymania na 48 godzin,Może wymierzyć grzywnę w dowolnej wysokości,Nie ma żadnych uprawnień do ustalania tożsamości,1,Art. 107 ust. 4 przyznaje pracownikowi Służby Parku Krajobrazowego prawo do legitymowania i zwrócenia się o pomoc w ustaleniu tożsamości.
